,Title,Published_date,Views,Likes,Comments,Month
81,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,6060,283,64,Oct
82,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,13127,534,108,Aug
83,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10474,436,32,Aug
84,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,42593,1635,32,Aug
85,How I Learned to Learn.,2021-07-31,51092,2358,209,Jul
86,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11365,615,51,Jul
87,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2475,92,30,Jul
88,Why are APIs Important for Data Science?,2021-07-09,10881,477,95,Jul
89,Is Your Phone REALLY Listening to You?,2021-07-03,5282,278,116,Jul
90,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,17797,652,123,Jun
91,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4142,227,39,Jun
92,#66DaysOfData - What is it? #shorts,2021-06-11,9608,400,54,Jun
93,A Quick Data Science Project Tip! #SHORTS,2021-06-03,17087,1032,89,Jun
94,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7566,390,195,May
95,How Data Science Projects Pay Off,2021-05-22,11127,612,146,May
96,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10804,490,134,May
97,What is a lambda function (python)? #shorts,2021-05-13,16306,980,49,May
98,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,34403,1762,63,May
99,What is Pandas? (Data & Data Science) #shorts,2021-04-30,25792,1318,85,Apr
100,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77805,3431,285,Apr
101,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23729,699,85,Apr
102,Why You Probably Won't Become a Data Scientist,2021-04-09,139402,4034,470,Apr
103,How to Go From Data Analyst to Data Scientist,2021-04-02,56226,1583,179,Apr
104,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,4048,140,92,Mar
105,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18871,362,108,Mar
106,My Regrets as a Data Science Student,2021-03-12,24164,882,112,Mar
107,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3859,194,83,Mar
108,What is the Future of my Comment Leaderboard Project?,2021-02-26,5622,201,81,Feb
109,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,7144,177,51,Feb
110,Why I Quit Data Science,2021-02-12,105720,2351,346,Feb
111,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10867,564,116,Jan
112,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7056,294,124,Jan
113,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,10486,314,53,Jan
114,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,24555,719,134,Jan
115,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,40981,1181,148,Jan
116,What is the #66DaysOfData?,2020-12-26,71302,2337,200,Dec
117,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131917,5940,486,Dec
118,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11259,401,131,Dec
119,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23901,722,324,Dec
120,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28927,872,160,Nov
121,6 Lessons from #66DaysOfData,2020-11-13,6796,338,93,Nov
122,100K Channel Update + AMA Stream!,2020-11-12,2325,126,21,Nov
123,Find a Data Science Project With These 3 Techniques,2020-11-06,17178,735,106,Nov
124,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,28571,697,155,Oct
125,git for Data Science Made Simple... (Hopefully),2020-10-23,22330,928,90,Oct
126,The PODCAST you might have asked for?,2020-10-19,2130,92,44,Oct
127,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6838,450,113,Oct
128,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14900,431,45,Oct
129,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,7308,152,60,Oct
130,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,12773,592,83,Oct
131,Sh*t Data Scientists Say (Parody),2020-10-05,9868,581,144,Oct
132,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8661,364,93,Oct
133,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7116,285,59,Sep
134,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,12145,289,69,Sep
135,5 Essential Data Science Projects for Your Portfolio,2020-09-26,75071,3145,207,Sep
136,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5264,200,64,Sep
137,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,14835,539,60,Sep
138,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7635,253,34,Sep
139,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5156,197,56,Sep
140,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4441,156,35,Sep
141,The 5 Pillars of Success I Live By,2020-09-11,10197,870,152,Sep
142,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1910,78,25,Sep
143,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4085,166,43,Sep
144,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,12110,745,145,Sep
145,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18147,574,89,Sep
146,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18495,795,93,Aug
147,Why I'm Starting Data Science Over Again.,2020-08-29,50886,2591,445,Aug
148,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15538,639,78,Aug
149,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,14190,491,53,Aug
150,Don't Buy My Course..,2020-08-21,7364,358,146,Aug
151,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29204,1102,166,Aug
152,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3293,127,38,Aug
153,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6426,539,108,Aug
154,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5154,188,37,Aug
155,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,14253,437,53,Aug
156,The Plagiarism Problem in Data Science,2020-08-07,13152,629,145,Aug
157,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14696,608,89,Aug
158,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,5120,189,56,Aug
159,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11628,582,90,Jul
160,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2376,116,34,Jul
161,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5911,256,112,Jul
162,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8387,248,199,Jul
163,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1886,97,27,Jul
164,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29442,562,90,Jul
165,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,386460,8200,445,Jul
166,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30713,1122,118,Jul
167,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3699,134,50,Jul
168,The Best Computer for Data Science Beginners,2020-07-10,40026,863,159,Jul
169,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6192,231,82,Jul
170,Critiquing MY OWN Data Science Resume,2020-07-06,12872,399,88,Jul
171,Where to Start Learning Data Science,2020-07-03,19255,790,125,Jul
172,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4267,198,35,Jul
173,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4705,179,52,Jun
174,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16893,554,79,Jun
175,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2451,82,40,Jun
176,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2393,139,49,Jun
177,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4457,168,46,Jun
178,Why You're Struggling to Learn Data Science,2020-06-12,15371,1001,159,Jun
179,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,12357,365,70,Jun
180,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,24761,696,145,Jun
181,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5746,154,53,Jun
182,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,78972,2284,277,May
183,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,21040,488,81,May
184,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,57488,2018,178,May
185,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11337,179,53,May
186,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,141381,4615,194,May
187,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3109,146,115,May
188,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4587,155,74,May
189,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1403059,48864,1986,May
190,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5666,199,42,May
191,What You Need to Know for a Data Science Internship,2020-05-01,22940,1216,60,May
192,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8476,348,53,Apr
193,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,15013,453,101,Apr
194,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3234,86,24,Apr
195,5 Tips for Crushing the Work From Home Life,2020-04-20,5485,199,38,Apr
196,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,23200,757,129,Apr
197,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,31546,751,99,Apr
198,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,46957,933,155,Apr
199,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,76371,1951,214,Apr
200,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,85637,1812,277,Apr
201,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,138164,3647,625,Apr
202,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,215278,5311,173,Apr
203,When Data Science Goes Wrong,2020-03-30,1829,106,30,Mar
204,How to ULTRALEARN Data Science,2020-03-27,62386,3808,168,Mar
205,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4520,267,50,Mar
206,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,14100,480,45,Mar
207,The Secret Data Scientists Don't Want You to Know,2020-03-16,11052,1145,100,Mar
208,The 5 Stages of Learning Data Science,2020-03-13,17709,1293,70,Mar
209,Can You Learn Data Science Without a Computer?,2020-03-11,2049,137,14,Mar
210,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,351087,21218,621,Mar
211,The Data Science Projects that Got Me a Job,2020-03-06,41873,1396,41,Mar
212,How to Integrate Data Science into Your Business,2020-03-02,3465,128,16,Mar
213,The Problem with Data Science,2020-02-28,3828,151,18,Feb
214,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1222,44,16,Feb
215,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,143501,2628,97,Feb
216,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,335439,17974,525,Feb
217,Data Science Advice for College Students,2020-02-14,69314,1965,195,Feb
218,Avoid These Data Science Resume Mistakes!,2020-02-10,29005,1248,59,Feb
219,Data Science Explained with ... Cooking?,2020-02-07,5574,314,48,Feb
220,The 4 Types of Sports Analytics Projects,2020-02-03,34268,1096,65,Feb
221,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,632,18,13,Jan
222,How I Learned Data Science,2020-01-27,94559,2684,208,Jan
223,What is Sports Analytics Really?,2020-01-20,23029,639,75,Jan
224,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,113783,3175,575,Jan
225,How To Learn Programming for Data Science [3 Steps],2020-01-13,30283,1980,96,Jan
226,Data Science Fundamentals: SQL Queries,2020-01-10,6932,219,35,Jan
227,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3191,150,14,Jan
228,The 9 Books That Changed My Perspective in 2019,2020-01-03,3411,176,25,Jan
229,The Data Science Interview: What to Expect,2019-12-30,8745,384,32,Dec
230,5 Data Science Resolutions for 2020,2019-12-27,480,24,12,Dec
231,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,18751,644,95,Dec
232,Collision Course: Sports Betting + Data Science,2019-12-20,20742,546,27,Dec
233,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,101103,2915,204,Dec
234,5 Sports Analytics Books to Get You Started,2019-12-13,11799,436,60,Dec
235,Math Needed for Mastering Data Science,2019-12-09,58400,2902,215,Dec
236,The 5 Stages of Data Science Adoption,2019-12-06,1367,69,17,Dec
237,How YOU Can Land a Sports Analytics Job,2019-12-02,74588,3217,230,Dec
238,Data Science Fundamentals: Linear Regression,2019-11-29,6594,176,42,Nov
239,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1272,55,12,Nov
240,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6890,282,26,Nov
241,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46902,1756,79,Nov
242,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,6021,138,31,Nov
243,Why Selling Is An Important Data Science Skill,2019-11-04,1686,80,13,Nov
244,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,3133,73,18,Oct
245,Why is Balance Important in Data Science?,2019-10-16,735,33,13,Oct
246,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,12117,582,55,Sep
247,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,4451,121,35,Sep
248,6 Habits of Successful Data Scientists,2019-09-13,2295,98,17,Sep
249,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,5226,108,10,Sep
250,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,526,23,29,Aug
251,Is Data Science Right For You?,2019-08-18,53041,1203,109,Aug
252,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15394,396,55,Aug
253,How To Get Data Science Experience (Without a Job),2019-08-08,30050,1390,77,Aug
254,Take Your Data Science Projects From Good to Great,2019-08-05,1652,110,11,Aug
255,The Projects You Should Do To Get A Data Science Job,2019-07-30,155964,5777,251,Jul
256,What Does a Data Scientist Actually Do?,2019-07-19,54380,1346,80,Jul
257,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13459,359,44,Jul
258,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18698,542,61,Jul
259,Data Science: Pros and Cons,2019-06-30,5713,230,18,Jun
260,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,26516,1247,89,Jun
261,My Top 5 Data Science Internship Tips,2019-06-15,12319,505,24,Jun
262,Golf STATS: Strokes Gained Explained,2019-06-07,8412,167,31,Jun
263,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,629,44,5,May
264,What I Learned From My Three Degrees,2019-05-17,1305,60,12,May
265,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25711,1063,66,May
266,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1279,39,2,May
267,Should You Learn R for Data Science?,2019-04-25,22379,570,72,Apr
268,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46766,848,329,Apr
269,Work From Home Data Scientist: Day in the Life,2019-04-12,28329,754,101,Apr
270,Where to Look for Data Science Jobs,2019-03-29,3047,116,9,Mar
271,Data Science: Startup vs. Large Corporation,2019-03-21,2367,76,4,Mar
272,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6431,172,26,Mar
273,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4301,179,15,Mar
274,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,832,32,12,Mar
275,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1510,33,8,Mar
276,Where YOU Should Start With Data Science Projects,2019-02-19,18667,363,20,Feb
277,Watch This Before Applying to Data Science Jobs,2019-02-04,1529,64,13,Feb
278,My Top 5 Data Science Resources for 2019,2019-01-05,3774,120,15,Jan
279,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,856,34,6,Dec
280,The Best Way to Predict NBA Minutes Played,2018-12-11,5416,126,15,Dec
281,Demystifying Data Science Roles,2018-11-30,1165,52,5,Nov
282,How to Simulate NBA Games in Python,2018-11-19,18832,412,50,Nov
283,Should You Get A Masters in Data Science?,2018-11-14,20854,303,133,Nov
284,How I Became A Data Scientist From a Business Background,2018-11-12,6618,196,23,Nov
285,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,9258,194,17,Jul
286,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19482,296,41,Nov
